Date:;2016-01-13 14:32:55
Firmware Version:;0x0150;0x2500;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3010
Subindex:;0x01
Max. samples:;1024
Recorded samples:;74
Sampling period:;1.870
Time;Analog Input 1
ms;V
0.000;-1.202
1.870;-1.208
3.740;-1.208
5.610;-1.202
7.480;-1.202
9.350;-1.202
11.220;-1.197
13.090;-1.208
14.960;-1.208
16.830;-1.208
18.700;-1.208
20.570;-1.208
22.440;-1.208
24.310;-1.208
26.180;-1.208
28.050;-1.202
29.920;-1.208
31.790;-1.208
33.660;-1.202
35.530;-1.208
37.400;-1.208
39.270;-1.202
41.140;-1.213
43.010;-1.208
44.880;-1.202
46.750;-1.202
48.620;-1.208
50.490;-1.202
52.360;-1.208
54.230;-1.208
56.100;-1.202
57.970;-1.202
59.840;-1.208
61.710;-1.208
63.580;-1.202
65.450;-1.208
67.320;-1.202
69.190;-1.208
71.060;-1.202
72.930;-1.208
74.800;-1.208
76.670;-1.208
78.540;-1.208
80.410;-1.202
82.280;-1.208
84.150;-1.202
86.020;-1.202
87.890;-1.202
89.760;-1.208
91.630;-1.208
93.500;-1.208
95.370;-1.208
97.240;-1.208
99.110;-1.208
100.980;-1.208
102.850;-1.213
104.720;-1.208
106.590;-1.202
108.460;-1.202
110.330;-1.208
112.200;-1.208
114.070;-1.202
115.940;-1.208
117.810;-1.208
119.680;-1.208
121.550;-1.208
123.420;-1.208
125.290;-1.202
127.160;-1.202
129.030;-1.208
130.900;-1.197
132.770;-1.208
134.640;-1.202
136.510;-1.208
