Date:;2015-10-10 16:01:02
Firmware Version:;0x0140;0x2500;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3010
Subindex:;0x01
Max. samples:;1024
Recorded samples:;692
Sampling period:;0.935
Time;Analog Input 1
ms;V
0.000;-0.195
0.935;-0.190
1.870;-0.190
2.805;-0.185
3.740;-0.190
4.675;-0.190
5.610;-0.185
6.545;-0.190
7.480;-0.185
8.415;-0.190
9.350;-0.190
10.285;-0.190
11.220;-0.190
12.155;-0.190
13.090;-0.190
14.025;-0.190
14.960;-0.190
15.895;-0.190
16.830;-0.185
17.765;-0.190
18.700;-0.190
19.635;-0.190
20.570;-0.190
21.505;-0.190
22.440;-0.190
23.375;-0.190
24.310;-0.190
25.245;-0.190
26.180;-0.190
27.115;-0.190
28.050;-0.185
28.985;-0.190
29.920;-0.190
30.855;-0.185
31.790;-0.190
32.725;-0.190
33.660;-0.185
34.595;-0.190
35.530;-0.190
36.465;-0.185
37.400;-0.190
38.335;-0.190
39.270;-0.185
40.205;-0.190
41.140;-0.190
42.075;-0.185
43.010;-0.190
43.945;-0.190
44.880;-0.185
45.815;-0.190
46.750;-0.190
47.685;-0.190
48.620;-0.190
49.555;-0.190
50.490;-0.190
51.425;-0.190
52.360;-0.190
53.295;-0.190
54.230;-0.190
55.165;-0.190
56.100;-0.190
57.035;-0.190
57.970;-0.185
58.905;-0.190
59.840;-0.190
60.775;-0.190
61.710;-0.185
62.645;-0.190
63.580;-0.190
64.515;-0.190
65.450;-0.190
66.385;-0.190
67.320;-0.190
68.255;-0.190
69.190;-0.190
70.125;-0.185
71.060;-0.190
71.995;-0.190
72.930;-0.190
73.865;-0.190
74.800;-0.190
75.735;-0.185
76.670;-0.190
77.605;-0.190
78.540;-0.190
79.475;-0.190
80.410;-0.190
81.345;-0.185
82.280;-0.190
83.215;-0.190
84.150;-0.190
85.085;-0.190
86.020;-0.190
86.955;-0.185
87.890;-0.190
88.825;-0.190
89.760;-0.185
90.695;-0.190
91.630;-0.190
92.565;-0.185
93.500;-0.185
94.435;-0.190
95.370;-0.185
96.305;-0.190
97.240;-0.190
98.175;-0.190
99.110;-0.190
100.045;-0.190
100.980;-0.190
101.915;-0.190
102.850;-0.190
103.785;-0.185
104.720;-0.190
105.655;-0.190
106.590;-0.190
107.525;-0.190
108.460;-0.190
109.395;-0.190
110.330;-0.190
111.265;-0.190
112.200;-0.190
113.135;-0.190
114.070;-0.190
115.005;-0.190
115.940;-0.185
116.875;-0.190
117.810;-0.190
118.745;-0.190
119.680;-0.190
120.615;-0.190
121.550;-0.190
122.485;-0.185
123.420;-0.185
124.355;-0.190
125.290;-0.190
126.225;-0.185
127.160;-0.200
128.095;-0.190
129.030;-0.190
129.965;-0.190
130.900;-0.190
131.835;-0.190
132.770;-0.190
133.705;-0.190
134.640;-0.185
135.575;-0.190
136.510;-0.190
137.445;-0.185
138.380;-0.190
139.315;-0.190
140.250;-0.185
141.185;-0.180
142.120;-0.185
143.055;-0.185
143.990;-0.190
144.925;-0.190
145.860;-0.185
146.795;-0.190
147.730;-0.185
148.665;-0.185
149.600;-0.190
150.535;-0.190
151.470;-0.190
152.405;-0.190
153.340;-0.185
154.275;-0.190
155.210;-0.185
156.145;-0.185
157.080;-0.190
158.015;-0.190
158.950;-0.190
159.885;-0.185
160.820;-0.190
161.755;-0.190
162.690;-0.190
163.625;-0.190
164.560;-0.190
165.495;-0.185
166.430;-0.190
167.365;-0.190
168.300;-0.190
169.235;-0.185
170.170;-0.190
171.105;-0.190
172.040;-0.190
172.975;-0.190
173.910;-0.190
174.845;-0.190
175.780;-0.190
176.715;-0.185
177.650;-0.190
178.585;-0.185
179.520;-0.190
180.455;-0.190
181.390;-0.190
182.325;-0.185
183.260;-0.190
184.195;-0.190
185.130;-0.190
186.065;-0.190
187.000;-0.185
187.935;-0.190
