Date:;2015-11-05 13:34:17
Firmware Version:;0x0130;0x2600;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3010
Subindex:;0x01
Max. samples:;1024
Recorded samples:;327
Sampling period:;1.870
Time;Analog Input 1
ms;V
0.000;-3.136
1.870;-3.130
3.740;-3.136
5.610;-3.136
7.480;-3.136
9.350;-3.136
11.220;-3.136
13.090;-3.136
14.960;-3.136
16.830;-3.136
18.700;-3.130
20.570;-3.136
22.440;-3.130
24.310;-3.136
26.180;-3.136
28.050;-3.136
29.920;-3.136
31.790;-3.136
33.660;-3.136
35.530;-3.136
37.400;-3.136
39.270;-3.130
41.140;-3.136
43.010;-3.136
44.880;-3.136
46.750;-3.130
48.620;-3.136
50.490;-3.136
52.360;-3.136
54.230;-3.136
56.100;-3.136
57.970;-3.136
59.840;-3.136
61.710;-3.130
63.580;-3.130
65.450;-3.136
67.320;-3.130
69.190;-3.136
71.060;-3.136
72.930;-3.136
74.800;-3.136
76.670;-3.136
78.540;-3.136
80.410;-3.136
82.280;-3.136
84.150;-3.130
86.020;-3.136
87.890;-3.136
89.760;-3.136
91.630;-3.136
93.500;-3.136
95.370;-3.136
97.240;-3.136
99.110;-3.136
100.980;-3.130
102.850;-3.136
104.720;-3.136
106.590;-3.136
108.460;-3.136
110.330;-3.136
112.200;-3.130
114.070;-3.136
115.940;-3.136
117.810;-3.136
119.680;-3.136
121.550;-3.136
123.420;-3.136
125.290;-3.136
127.160;-3.136
129.030;-3.141
130.900;-3.136
132.770;-3.136
134.640;-3.136
136.510;-3.136
138.380;-3.130
140.250;-3.136
142.120;-3.136
143.990;-3.136
145.860;-3.136
147.730;-3.136
149.600;-3.130
151.470;-3.136
153.340;-3.136
155.210;-3.136
157.080;-3.136
158.950;-3.130
160.820;-3.136
162.690;-3.136
164.560;-3.136
166.430;-3.141
168.300;-3.136
170.170;-3.136
172.040;-3.136
173.910;-3.136
175.780;-3.136
177.650;-3.130
179.520;-3.136
181.390;-3.136
183.260;-3.136
185.130;-3.136
187.000;-3.136
188.870;-3.136
190.740;-3.136
192.610;-3.141
194.480;-3.136
196.350;-3.136
198.220;-3.136
200.090;-3.136
201.960;-3.136
203.830;-3.136
205.700;-3.136
207.570;-3.136
209.440;-3.130
211.310;-3.136
213.180;-3.136
215.050;-3.136
216.920;-3.136
218.790;-3.136
220.660;-3.136
222.530;-3.136
224.400;-3.136
226.270;-3.136
228.140;-3.130
230.010;-3.136
231.880;-3.136
233.750;-3.136
235.620;-3.136
237.490;-3.136
239.360;-3.136
241.230;-3.136
243.100;-3.136
244.970;-3.136
246.840;-3.136
248.710;-3.130
250.580;-3.136
252.450;-3.136
254.320;-3.136
256.190;-3.136
258.060;-3.136
259.930;-3.136
261.800;-3.136
263.670;-3.136
265.540;-3.136
267.410;-3.136
269.280;-3.136
271.150;-3.136
273.020;-3.136
274.890;-3.136
276.760;-3.130
278.630;-3.136
280.500;-3.136
282.370;-3.136
284.240;-3.136
286.110;-3.136
287.980;-3.136
289.850;-3.136
291.720;-3.136
293.590;-3.136
295.460;-3.136
297.330;-3.136
299.200;-3.136
301.070;-3.136
302.940;-3.136
304.810;-3.136
306.680;-3.136
308.550;-3.136
310.420;-3.136
312.290;-3.136
314.160;-3.136
316.030;-3.136
317.900;-3.136
319.770;-3.136
321.640;-3.136
323.510;-3.130
325.380;-3.136
327.250;-3.136
329.120;-3.136
330.990;-3.136
332.860;-3.136
334.730;-3.136
336.600;-3.136
338.470;-3.136
340.340;-3.136
342.210;-3.136
344.080;-3.136
345.950;-3.136
347.820;-3.136
349.690;-3.136
351.560;-3.136
353.430;-3.136
355.300;-3.136
357.170;-3.136
359.040;-3.136
360.910;-3.130
362.780;-3.136
364.650;-3.136
366.520;-3.130
368.390;-3.136
370.260;-3.136
372.130;-3.136
374.000;-3.136
375.870;-3.136
377.740;-3.136
379.610;-3.136
381.480;-3.136
383.350;-3.136
385.220;-3.136
387.090;-3.136
388.960;-3.136
390.830;-3.136
392.700;-3.136
394.570;-3.136
396.440;-3.136
398.310;-3.136
400.180;-3.130
402.050;-3.136
403.920;-3.136
405.790;-3.136
407.660;-3.136
409.530;-3.136
411.400;-3.136
413.270;-3.136
415.140;-3.130
417.010;-3.130
418.880;-3.136
420.750;-3.136
422.620;-3.136
424.490;-3.136
426.360;-3.136
428.230;-3.130
430.100;-3.136
431.970;-3.136
433.840;-3.130
435.710;-3.136
437.580;-3.136
439.450;-3.136
441.320;-3.136
443.190;-3.136
445.060;-3.136
446.930;-3.136
448.800;-3.136
450.670;-3.141
452.540;-3.136
454.410;-3.136
456.280;-3.136
458.150;-3.136
460.020;-3.136
461.890;-3.136
463.760;-3.136
465.630;-3.136
467.500;-3.136
469.370;-3.136
471.240;-3.136
473.110;-3.136
474.980;-3.136
476.850;-3.141
478.720;-3.136
480.590;-3.136
482.460;-3.136
484.330;-3.130
486.200;-3.136
488.070;-3.136
489.940;-3.136
491.810;-3.136
493.680;-3.130
495.550;-3.130
497.420;-3.136
499.290;-3.136
501.160;-3.136
503.030;-3.136
504.900;-3.136
506.770;-3.136
508.640;-3.136
510.510;-3.136
512.380;-3.136
514.250;-3.136
516.120;-3.136
517.990;-3.136
519.860;-3.136
521.730;-3.136
523.600;-3.136
525.470;-3.136
527.340;-3.136
529.210;-3.136
531.080;-3.136
532.950;-3.136
534.820;-3.136
536.690;-3.136
538.560;-3.136
540.430;-3.136
542.300;-3.136
544.170;-3.141
546.040;-3.136
547.910;-3.136
549.780;-3.136
