Date:;2015-11-05 13:32:30
Firmware Version:;0x0130;0x2600;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3010
Subindex:;0x01
Max. samples:;1024
Recorded samples:;342
Sampling period:;1.870
Time;Analog Input 1
ms;V
555.390;-8.017
557.260;-8.023
559.130;-8.023
561.000;-8.023
562.870;-8.023
564.740;-8.029
566.610;-8.023
568.480;-8.023
570.350;-8.023
572.220;-8.023
574.090;-8.023
575.960;-8.023
577.830;-8.023
579.700;-8.023
581.570;-8.017
583.440;-8.023
585.310;-8.023
587.180;-8.023
589.050;-8.023
590.920;-8.023
592.790;-8.023
594.660;-8.023
596.530;-8.023
598.400;-8.029
600.270;-8.023
602.140;-8.023
604.010;-8.023
605.880;-8.023
607.750;-8.029
609.620;-8.023
611.490;-8.029
613.360;-8.029
615.230;-8.023
617.100;-8.029
618.970;-8.023
620.840;-8.023
622.710;-8.023
624.580;-8.029
626.450;-8.029
628.320;-8.023
630.190;-8.023
632.060;-8.023
633.930;-8.023
635.800;-8.023
637.670;-8.023
